,PercentCoverage,TotalCollects,AgilityMetric,WeightedSunAngle,NumberDownlinkOppurtunities,CrossLinkCommAvailability,GenericDynamicMetric
Value 1,100.0,397,1.596976998962958,218.3359995672122,41.36635200304273,2081.870221307027,4.3812693072370665
Value 2,100.0,400,2.346257562916813,48.77910147771299,26.844418579910588,848.3393182739712,2.839782881962738
Value 3,89.29021719159458,384,2.1420377003067563,90.50156556611286,19.368321375698134,1398.4010289107082,3.0969650719188397
Value 4,74.46745735145191,402,2.7105264792377954,95.11179058857446,11.3743361833744,1403.9675834103205,2.193533948902514
Value 5,100.0,391,2.034726329553619,118.33453022330053,37.20461649053378,2893.524912268805,3.7546879505235253
Value 6,100.0,416,0.858516898789362,138.004299889231,548.5324459762099,19717.430274996394,11.634848390896469
Value 7,100.0,403,1.1125195406753197,223.33592279333587,180.70610909341846,7787.658083120235,5.993917720932098
Value 8,79.68027766116508,394,2.2755093163391704,242.6690337807836,13.377854202627004,1252.8604139245465,2.4846582589695743
Value 9,100.0,420,1.5229683712979623,242.66911335900733,49.418058579075,859.5826108817349,9.560160852816336
Value 10,76.33346404718705,401,2.9071801503512935,167.00339690315414,15.03026669701079,2561.487672577148,1.852489532914005
Value 11,100.0,396,1.5382619792636103,175.66995251011312,52.47545723419656,3714.699613776962,4.35458824013923
Value 12,100.0,407,1.2217048008882796,69.11206133307384,88.85421529136164,3340.8623679310567,8.7559190048904
Value 13,85.75507618754803,392,2.293325691392321,130.33766801490788,19.901092762792455,810.0848539244724,3.774646388763696
Value 14,83.94080078073037,407,3.194124699888928,167.0008530267901,17.215826075378537,687.5293211805775,1.8713097004658683
Value 15,69.45061137466662,404,3.2222008066613568,239.00235379090248,12.635636363260582,1720.4644452611985,1.7307272120545691
Value 16,85.40001777999785,382,1.6344109757370586,74.83516763694954,25.37338708600062,1106.7567664356725,3.9571163978304056
Value 17,73.61474253312188,387,2.80136671489215,66.83543421375546,12.29715882752122,706.7094273622902,3.33898770080897
Value 18,84.47329607130045,400,2.2450617688288106,60.7788414683568,14.935490251448849,3177.7306410553483,2.681801981277034
Value 19,84.00791138130394,383,2.1451088125965163,148.0037881352827,16.949734138823356,500.3754411422633,2.9717442724172103
Value 20,100.0,381,0.7742904843009902,121.16779486259416,478.3561353978382,15813.672665816464,7.301001509211094
Value 21,94.00048260933406,398,2.135301781802082,39.44605543653393,25.149307961768415,2089.9599570041937,3.329752623716193
Value 22,100.0,394,1.1351345124533307,91.88956362875253,78.62568381977628,1821.5323105815105,5.2057020700672725
